Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
    6 Sales and service occupations,3240,3840,3215,3560,2465,3515
"    7 Trades, transport and equipment operators and related occupations",1620,1700,1400,1975,1500,2020
"    8 Natural resources, agriculture and related production occupations",40,50,50,0,35,55
    9 Occupations in manufacturing and utilities,935,1250,1025,1150,875,1080
Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,12435,13135,10635,13210,8875,13145
  Industry - not applicable,555,680,670,555,385,615
  All industries,11880,12450,9970,12655,8490,12535
"    11 Agriculture, forestry, fishing and hunting",15,10,25,10,15,30
"    21 Mining, quarrying, and oil and gas extraction",10,15,0,10,0,10
    22 Utilities,45,30,30,50,30,55
    23 Construction,645,725,600,570,345,615
    31-33 Manufacturing,1250,1655,1285,1525,950,1330
    41 Wholesale trade,555,540,445,360,365,410
    44-45 Retail trade,1380,1435,1100,1320,1120,1505
    48-49 Transportation and warehousing,535,580,430,900,620,1005
    51 Information and cultural industries,320,335,290,425,150,265
    52 Finance and insurance,1050,1050,745,1130,515,770
    53 Real estate and rental and leasing,290,310,160,255,140,190
"    54 Professional, scientific and technical services",1270,1065,880,985,630,995
    55 Management of companies and enterprises,65,45,30,50,30,45
"    56 Administrative and support, waste management and remediation services",730,685,455,840,730,960
    61 Educational services,615,690,465,580,545,640
    62 Health care and social assistance,1260,1110,1025,1610,1125,1765
"    71 Arts, entertainment and recreation",125,120,110,165,95,150
    72 Accommodation and food services,895,1220,1240,985,535,865
    81 Other services (except public administration),460,485,405,445,325,450
    91 Public administration,360,360,225,440,240,485
"Total - All languages used at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",13295,14140,11480,13900,9430,13775
  English,10605,10035,7175,12755,8485,12535
  French,10,30,10,0,30,45
  Non-official language,1020,1790,2225,230,265,210
    Indigenous,0,0,0,0,0,0
    Non-Indigenous,1020,1790,2225,230,265,210
  English and French,120,135,45,120,95,140
  English and non-official language(s),1435,1865,1750,790,520,800
  French and non-official language(s),0,0,0,0,0,0
"  English, French and non-official language(s)",0,10,0,0,10,20
  Multiple non-official languages,100,270,265,0,15,15
"Total - Language used most often at work for the population aged 15 years and over who worked since January 1, 2020, in private households, 2021 Census - 25% sample data",13295,14140,11480,13900,9430,13775
  Single responses,12850,13580,10930,13740,9315,13520
    Official languages,11340,10885,7910,13305,8910,13150
      English,11325,10820,7895,13290,8860,13070
      French,20,60,15,20,45,80
    Non-official languages,1505,2700,3015,430,405,370
      Indigenous languages,0,0,0,0,0,0
        Algonquian languages,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0
          Cree-Innu languages,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0
            Cree languages,0,0,0,0,0,0
              Ililimowin (Moose Cree),0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0
              Nehinawewin (Swampy Cree),0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0
"              Cree, n.o.s.",0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0
          Ojibway-Potawatomi languages,0,0,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0
            Ojibway languages,0,0,0,0,0,0
              Anishinaabemowin (Chippewa),0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0
"              Ojibway, n.o.s.",0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0
        Haida,0,0,0,0,0,0
        Inuktut (Inuit) languages,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0
        Iroquoian languages,0,0,0,0,0,0
          Mohawk,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0
        Michif,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0
          Squamish,0,0,0,0,0,0
          Straits,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0
      Non-Indigenous languages,1505,2700,3015,430,405,370
        Afro-Asiatic languages,0,0,0,0,0,0
          Berber languages,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0
            Tamazight,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0
          Chadic languages,0,0,0,0,0,0
          Coptic,0,0,0,0,0,0
          Cushitic languages,0,0,0,0,0,0
            Bilen,0,0,0,0,0,0
            Oromo,0,0,0,0,0,0
            Somali,0,0,0,0,0,0
"            Cushitic languages, n.i.e.",0,0,0,0,0,0
          Semitic languages,0,0,0,0,0,0
            Amharic,0,0,0,0,0,0
            Arabic,0,0,0,0,0,0
            Aramaic languages,0,0,0,0,0,0
              Assyrian Neo-Aramaic,0,0,0,0,0,0
              Chaldean Neo-Aramaic,0,0,0,0,0,0
"              Aramaic, n.o.s.",0,0,0,0,0,0
            Hebrew,0,0,0,0,0,0
            Tigrigna,0,0,0,0,0,0
"            Semitic languages, n.i.e.",0,0,0,0,0,0
        Austro-Asiatic languages,0,0,10,0,20,0
          Khmer (Cambodian),0,0,0,0,0,0
          Vietnamese,0,0,10,0,20,0
"          Austro-Asiatic languages, n.i.e.",0,0,0,0,0,0
        Austronesian languages,0,0,10,15,50,25
          Bikol,0,0,0,0,0,0
"          Bisaya, n.o.s.",0,0,0,0,0,0
          Cebuano,0,0,0,0,0,0
          Hiligaynon,0,0,0,0,0,0
          Ilocano,0,0,0,0,0,0
          Indonesian,0,0,0,0,0,0
          Kankanaey,0,0,0,0,0,0
          Malagasy languages,0,0,0,0,0,0
          Malay,0,0,0,0,0,0
"          Pampangan (Kapampangan, Pampango)",0,0,0,0,0,0
          Pangasinan,0,0,0,0,0,0
"          Tagalog (Pilipino, Filipino)",0,0,0,15,50,25
"          Austronesian languages, n.i.e.",0,0,0,0,0,0
        Creole languages,0,0,0,0,0,0
          Haitian Creole,0,0,0,0,0,0
          Jamaican English Creole,0,0,0,0,0,0
          Morisyen,0,0,0,0,0,0
"          Creole, n.o.s.",0,0,0,0,0,0
"          Creole languages, n.i.e.",0,0,0,0,0,0
        Dravidian languages,10,50,30,245,75,65
          Kannada,0,0,0,0,0,0
          Malayalam,0,0,0,0,0,0
          Tamil,10,50,30,240,70,65
          Telugu,0,0,0,0,0,0
"          Dravidian languages, n.i.e.",0,0,0,0,0,0
        Georgian,0,0,0,0,0,0
        Indo-European languages,50,40,40,35,55,75
          Albanian,0,0,0,0,0,0
          Armenian,0,0,0,0,0,0
          Balto-Slavic languages,0,0,0,0,0,0
            Baltic languages,0,0,0,0,0,0
              Latvian,0,0,0,0,0,0
              Lithuanian,0,0,0,0,0,0
            Slavic languages,0,0,0,0,0,0
              Bulgarian,0,0,0,0,0,0
              Czech,0,0,0,0,0,0
              Macedonian,0,0,0,0,0,0
              Polish,0,0,0,0,0,0
              Russian,0,0,0,0,0,0
              Serbo-Croatian,0,0,0,0,0,0
                Bosnian,0,0,0,0,0,0
                Croatian,0,0,0,0,0,0
                Serbian,0,0,0,0,0,0
"                Serbo-Croatian, n.i.e.",0,0,0,0,0,0
              Slovak,0,0,0,0,0,0
              Slovene (Slovenian),0,0,0,0,0,0
              Ukrainian,0,0,0,0,0,0
"              Slavic languages, n.i.e.",0,0,0,0,0,0
          Celtic languages,0,0,0,0,0,0
            Scottish Gaelic,0,0,0,0,0,0
"            Celtic languages, n.i.e.",0,0,0,0,0,0
          Germanic languages,0,0,0,0,0,0
            Frisian,0,0,0,0,0,0
            High German languages,0,0,0,0,0,0
              German,0,0,0,0,0,0
              Pennsylvania German,0,0,0,0,0,0
              Swiss German,0,0,0,0,0,0
              Yiddish,0,0,0,0,0,0
            Low Saxon-Low Franconian languages,0,0,0,0,0,0
              Afrikaans,0,0,0,0,0,0
              Dutch,0,0,0,0,0,0
"              Low German, n.o.s.",0,0,0,0,0,0
              Low Saxon,0,0,0,0,0,0
              Plautdietsch,0,0,0,0,0,0
              Vlaams (Flemish),0,0,0,0,0,0
            Scandinavian languages,0,0,0,0,0,0
              Danish,0,0,0,0,0,0
              Icelandic,0,0,0,0,0,0
              Norwegian,0,0,0,0,0,0
              Swedish,0,0,0,0,0,0
"            Germanic languages, n.i.e.",0,0,0,0,0,0
          Greek,0,10,0,0,0,0
          Indo-Iranian languages,20,25,30,25,45,55
            Indo-Aryan languages,15,0,25,25,45,55
              Bengali,0,0,0,0,10,0
              Gujarati,0,0,20,0,0,0
              Hindi,0,0,0,0,10,15
              Kacchi,0,0,0,0,0,0
              Marathi,0,0,0,0,0,0
              Nepali,0,0,0,0,0,0
              Punjabi (Panjabi),0,0,0,20,0,0
              Sindhi,0,0,0,0,0,0
              Sinhala (Sinhalese),0,0,0,0,0,0
              Urdu,0,0,0,0,30,25
"              Indo-Aryan languages, n.i.e.",0,0,0,0,0,0
            Iranian languages,0,0,0,0,0,0
              Kurdish,0,0,0,0,0,0
              Pashto,0,0,0,0,0,0
              Persian languages,0,0,0,0,0,0
                Dari,0,0,0,0,0,0
                Iranian Persian,0,0,0,0,0,0
"                Persian (Farsi), n.o.s.",0,0,0,0,0,0
"              Iranian languages, n.i.e.",0,0,0,0,0,0
"            Indo-Iranian languages, n.i.e.",0,0,0,0,0,0
          Italic (Romance) languages,25,10,0,10,0,15
            Catalan,0,0,0,0,0,0
            Italian,0,0,0,0,0,0
            Portuguese,10,0,0,0,0,0
            Romanian,0,0,0,0,0,0
            Spanish,10,10,0,0,0,10
"            Italic (Romance) languages, n.i.e.",0,0,0,0,0,0
"          Indo-European languages, n.i.e.",0,0,0,0,0,0
        Japanese,0,0,0,0,0,0
        Korean,0,10,10,0,0,0
        Mongolian,0,0,0,0,0,0
        Niger-Congo languages,0,0,0,0,0,0
          Akan (Twi),0,0,0,0,0,0
          Edo,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0
          Ga,0,0,0,0,0,0
          Ganda,0,0,0,0,0,0
          Igbo,0,0,0,0,0,0
          Kinyarwanda (Rwanda),0,0,0,0,0,0
          Lingala,0,0,0,0,0,0
          Rundi (Kirundi),0,0,0,0,0,0
          Shona,0,0,0,0,0,0
          Swahili,0,0,0,0,0,0
          Wolof,0,0,0,0,0,0
          Yoruba,0,0,0,0,0,0
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0
        Nilo-Saharan languages,0,0,0,0,0,0
          Dinka,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",0,0,0,0,0,0
        Sign languages,0,0,0,0,0,0
          American Sign Language,0,0,0,0,0,0
          Quebec Sign Language,0,0,0,0,0,0
"          Sign languages, n.i.e.",0,0,0,0,0,0
        Sino-Tibetan languages,1445,2585,2915,130,195,175
          Chinese languages,1445,2585,2915,130,195,175
            Hakka,0,0,0,0,0,0
            Mandarin,700,1165,1445,95,95,80
            Min Dong,0,0,0,0,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,0,0,0,0,0
            Wu (Shanghainese),0,0,0,0,0,0
            Yue (Cantonese),735,1395,1435,40,95,95
"            Chinese, n.o.s.",0,15,10,0,0,0
"            Chinese languages, n.i.e.",0,0,0,0,0,0
          Tibeto-Burman languages,0,0,0,0,0,0
            Burmese,0,0,0,0,0,0
            Karenic languages,0,0,0,0,0,0
              S'gaw Karen,0,0,0,0,0,0
"              Karenic languages, n.i.e.",0,0,0,0,0,0
            Tibetan,0,0,0,0,0,0
"            Tibeto-Burman languages, n.i.e.",0,0,0,0,0,0
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0
        Tai-Kadai languages,0,0,0,0,0,0
          Lao,0,0,0,0,0,0
          Thai,0,0,0,0,0,0
"          Tai-Kadai languages, n.i.e.",0,0,0,0,0,0
        Turkic languages,0,0,0,0,0,0
          Azerbaijani,0,0,0,0,0,0
          Turkish,0,0,0,0,0,0
          Uyghur,0,0,0,0,0,0
          Uzbek,0,0,0,0,0,0
"          Turkic languages, n.i.e.",0,0,0,0,0,0
        Uralic languages,0,0,0,0,0,0
          Estonian,0,0,0,0,0,0
          Finnish,0,0,0,0,0,0
          Hungarian,0,0,0,0,0,0
"        Other languages, n.i.e.",0,0,0,0,0,0
  Multiple responses,445,560,550,160,120,255
    English and French,35,45,10,15,20,50
    English and non-official language(s),395,475,510,145,95,200
    French and non-official language(s),0,0,0,0,0,0
"    English, French and non-official language(s)",0,0,0,0,0,0
    Multiple non-official languages,10,35,35,0,0,0
"Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2020 - 25% sample data",13295,14140,11480,13900,9430,13775
  None,11990,12335,9810,13150,8885,13015
  English,310,545,410,195,120,170
  French,75,65,35,85,55,60
  Non-official language,665,835,875,375,275,450
    Indigenous,0,0,0,0,0,0
    Non-Indigenous,665,835,875,375,275,450
  English and French,0,0,0,0,0,0
  English and non-official language(s),100,160,150,20,15,10
  French and non-official language(s),0,0,0,0,10,20
"  English, French and non-official language(s)",0,0,0,0,0,0
  Multiple non-official languages,150,190,195,70,70,45
Total - Place of work status for the employed labour force aged 15 years and over - 25% sample data,10645,10860,8615,11235,7325,11020
  Worked at home,3065,2885,2090,2680,1465,2425
  Worked outside Canada,60,80,35,35,40,10
  No fixed workplace address,1240,1320,1325,1360,985,1380
  Usual place of work,6275,6570,5170,7160,4835,7210
Total - Commuting destination for the employed labour force aged 15 years and over with a usual place of work - 25% sample data,6280,6570,5170,7160,4835,7205
  Commute within census subdivision (CSD) of residence,4710,4670,3415,5490,3660,5610
  Commute to a different census subdivision (CSD) within census division (CD) of residence,0,0,0,0,0,0
  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,1560,1895,1735,1665,1175,1590
  Commute to a different province or territory,10,10,25,0,0,10
Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,7520,7895,6495,8520,5825,8585
"  Car, truck or van",5585,6045,5325,6925,4065,6210
"    Car, truck or van - as a driver",4810,5120,4485,6030,3555,5405
"    Car, truck or van - as a passenger",780,920,840,900,515,800
  Public transit,1630,1465,955,1320,1415,2040
  Walked,145,190,105,90,150,170
  Bicycle,25,55,35,0,15,35
  Other method,140,140,80,175,175,140
Total - Commuting duration for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,7520,7895,6495,8520,5825,8585
  Less than 15 minutes,1395,1315,1095,1280,965,1430
  15 to 29 minutes,2405,2515,2180,2665,1655,2345
  30 to 44 minutes,1800,2095,1715,2105,1575,2250
  45 to 59 minutes,775,795,600,1065,620,960
  60 minutes and over,1140,1170,905,1400,1010,1595
Total - Time leaving for work for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,7520,7895,6495,8520,5825,8585
  Between 5 a.m. and 5:59 a.m.,280,350,210,550,360,620
  Between 6 a.m. and 6:59 a.m.,1060,865,675,1325,920,1500
  Between 7 a.m. and 7:59 a.m.,1435,1550,1085,1855,1130,1740
  Between 8 a.m. and 8:59 a.m.,1665,1605,1535,1565,1000,1545
  Between 9 a.m. and 11:59 a.m.,1860,2100,2000,1325,885,1160
  Between 12 p.m. and 4:59 a.m.,1225,1425,995,1890,1525,2025
Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 25% sample data,3700,4175,3865,5100,3545,4900
  Children eligible for instruction in the minority official language,255,260,190,305,345,420
  Children not eligible for instruction in the minority official language,3445,3910,3675,4795,3200,4485
"Total - Eligibility and instruction in the minority official language, for the population in private households born between 2003 and 2015 (inclusive) - 25% sample data",2685,3085,2760,3785,2665,3725
  Children eligible for instruction in the minority official language,210,225,170,245,260,340
    Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,140,165,115,200,220,235
    Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,70,60,55,45,45,105
  Children not eligible for instruction in the minority official language,2475,2855,2590,3540,2410,3385
